Search,Search Count,Last Search Date
"^C:\\Users\\Hashub\\Desktop\\",28,133952232674511232
"^G:\\Otto\\",3,133952074105800801
"^I:\\",3,133951171236305404
"^F:\\Asset\\.*url",3,133951161941336720
"^I:\\Lynda\\",3,133950744215312039
"^F:\\SteamLibrary\\steamapps\\common\\Tom Clancy's Splinter Cell Blacklist\\",3,133917084144313987
"rime",2,133952138765439993
"^F:\\Asset\\SolidWorks\\SheetMetal\\Solidworks钣金设计教程规范焊接件工程图拆图SW自动化非标机械\\solidworks钣金建模视频教程\\深圳钣金钣金拆图教程\\深圳高薪钣金\\深圳高薪钣金sw\\钣金\\展开习题 练习\\",2,133951422262764845
"^G:\\Code\\Python\\profile-backup\\Profiles\\Everything\\",2,133951366504366778
"^F:\\Asset\\.*",2,133951169785020172
"^F:\\Asset\\.*txt",2,133951159754314743
"^F:\\Asset\\",2,133951157953224377
"^C:\\Program Files\\StartAllBack\\",2,133945481179961476
"startallback",2,133945481022851954
"rime.*",1,133952279134882082
"ska.*nerd",1,133952232896839543
"咖啡+",1,133952113336492004
"^F:\\Asset\\SolidWorks\\SheetMetal\\",1,133952101786930949
"sync-conflict",1,133952075268391063
".*bak$",1,133952074234914107
".*bak",1,133952074200587363
"^G:\\Otto\\.*bak",1,133952074135023220
"stignore",1,133952074026646815
".*fas$",1,133952073760378607
".*acad.err",1,133952073654591379
"^G:\\Otto\\.*WI-SC-101-200",1,133952073452063737
"^G:\\Otto\\.*.ini",1,133952073343005077
"^G:\\Otto\\.*thumb",1,133952072488578111
"^G:\\Otto\\.*desktop.ini",1,133952072420582282
"^G:\\Otto\\.*lnk",1,133952072030083600
"^G:\\Otto\\Vault\\其他\\奥力克\\.*thumb",1,133952064642755993
"^G:\\Otto\\Vault\\其他\\奥力克\\.*fas",1,133952064437954317
"^G:\\Otto\\Vault\\其他\\奥力克\\",1,133952064386728321
"^C:\\Users\\Hashub\\AppData\\Roaming\\Rime\\",1,133951591492796868
"^F:\\Asset\\SolidWorks\\SheetMetal\\Solidworks钣金设计教程规范焊接件工程图拆图SW自动化非标机械\\solidworks钣金建模视频教程\\深圳钣金钣金拆图教程\\深圳高薪钣金\\深圳高薪钣金sw\\钣金\\展开习题 练习\\.*\(2\)",1,133951422410995627
"^F:\\Asset\\SolidWorks\\SheetMetal\\Solidworks钣金设计教程规范焊接件工程图拆图SW自动化非标机械\\solidworks钣金建模视频教程\\深圳钣金钣金拆图教程\\深圳高薪钣金\\深圳高薪钣金sw\\钣金\\展开习题 练习\\.*(2)",1,133951422312632953
"下载\.",1,133951411664123621
"everything",1,133951366549981518
".*rime\\",1,133951212052290773
"weasel.*exe",1,133951187749667449
"rime.*exe",1,133951183257454322
"rime.*\.exe",1,133951182886695916
"^I:\\.*url",1,133951171285387801
"^F:\\Asset\\.*说明",1,133951170430608239
"^F:\\Asset\\.*图纸",1,133951170258946731
"^F:\\Asset\\.*Thumbs.db",1,133951168219694113
"^F:\\Asset\\.*更多",1,133951162444110207
"^F:\\Asset\\.*使用说明.txt",1,133951161504121309
"^F:\\Asset\\.*【海量图纸】-枫启机械教育",1,133951160407535195
"^F:\\Asset\\.*【海量机械3D模型图纸下载】",1,133951160275921486
"^F:\\Asset\\.*必看说明\+.txt",1,133951160182884801
"^F:\\Asset\\.*自动化视频在线观看\+下载\.png",1,133951160068176897
"^F:\\Asset\\.*大量机械资料免费打包下载.jpg",1,133951159915440481
"^F:\\Asset\\.*readme-and-terms-of-use-3d-cad-models",1,133951159630311323
"^F:\\Asset\\.*lnk",1,133951159270143368
"^F:\\Asset\\.*~\$.*",1,133951158245385255
"^I:\\.*rar",1,133950760000469727
"^I:\\Lynda\\.*rar",1,133950744332572887
"tigress.exten",1,133950635912910600
"xnview",1,133950298648644820
"virtualbox",1,133949857681369462
"winaer",1,133945520774041328
"secureux",1,133945487543934645
"^C:\\Program Files\\StartAllBack\\.*exe",1,133945481225473786
"^C:\\Users\\Hashub\\AppData\\Local\\nvim-data\\lazy\\avante\.nvim\\",1,133941774532456156
"^G:\\Code\\Python\\ottoLaserCutting\\",1,133938577187681203
"tubepro.exe",1,133929071109733375
"\(\d+\)\..{1,5}$",1,133929057628535619
"tubepro.e",1,133928805971415062
"tubepro\.exe",1,133926574769162269
"kate.exe",1,133925695902745760
"startall",1,133925561663455850
"pyright$",1,133924934889276078
"cv2.py",1,133924083517656502
"^G:\\Code\\Python\\parse-tube-cutting-log\\parseTubeCuttingLog\\",1,133924083407606393
"mkl_intel_thread.2.dll",1,133924072958017817
"mkl_intel_thread.2.dl",1,133924069871481696
"^G:\\Code\\Python\\profile-backup\\",1,133919663891876416
"wsreset",1,133918845135755122
"indents.scm",1,133917213584532684
"shada",1,133917210091493094
"ubisoft.*exe",1,133917070053717287
"ubisoft",1,133916171658121576
"^F:\\SteamLibrary\\steamapps\\common\\Tom Clancy's Splinter Cell Blacklist\\.*exe",1,133916171075422632
".gitconfig",1,133903247798622405
