Filename,Run Count,Last Run Date
"\\Pc-20220516lkig\F\cxt-1\CAD-图纸\（王建忠）9月份copy\CAD-tuzhi\江西安驰新能源科技有限公司\安驰PPAP文件\维德叉车项目 PPAP改善资料2020.09.28\安驰ROHS报告及样品检测报告\3135规格书.pdf",1,134261604330391895
"\\User-20230521vs\G\阳帅工作文档\CAD\时代高科\TFS260104T-01-01-01-00（订单：10套）\生产\DZ-000200079 陶瓷温控开关 KSD9700 250V 5A 140℃  常闭型 20x8.8x5mm 黑色引线 长度1500mm.dwg",2,134260754041542199
"\\User-20230521vs\G\阳帅工作文档\CAD\时代高科\TFR250204(TFR251201)(CXT-050700271) 发热板组件 1237x160x10mm\生产\TFR250204T-06-02-01-04(DZ-000500025) 热电阻探头A型 1米8.DWG",1,134260746145895476
"\\Desktop-osh296i\e\（王建忠）9月份copy\供应商（杂类）\远东电缆\DX-AFRTF-250-300-500V-1X2.5__1X4__1X6(氟塑料镀锡五类软导体）________技术规格书.pdf",1,134260641997026134
"\\User-20230521vs\G\阳帅工作文档\CAD\时代高科\项目TFS250610TA发热板（6种发热板组件）192套+12套\客供图纸20251114\项目TFS250610TA发热板图纸\TFS250610TA 发热板 6块拼接 装配体\TFS250610TA 发热板 6块拼接 装配体.SLDASM",1,134260550323937496
"\\User-20230521vs\G\阳帅工作文档\CAD\时代高科\项目TFS250610TA发热板（6种发热板组件）192套+12套\TFS250610TA-06-03-02 挡板（WJ-001000089）24×8.8×1.5T.dwg",1,134260549593291912
"\\User-20230521vs\G\阳帅工作文档\CAD\时代高科\TFS260104T-01-01-01-00（订单：10套）\TFS260104T夹具测温探头和发热主板变更-20260514\260104T发热板组件--新\260104T发热板组件--新\TFS250610TA-06-03-02 挡板.DWG",2,134259016486348177
"\\Desktop-osh296i\e\（王建忠）9月份copy\实验报告\大族贝金\硅胶加热膜 可靠性可靠性测试\通断电循环性能测试实验报告-20240424.doc",1,134256434165664229
"\\Desktop-osh296i\e\设备操作规范011\设备操作规范-17-1-4日新制定的版本(最新版)\2017-1-4日最新的机器设备操作规范\CXT-03-G073-恒温恒湿试验机.doc",1,134256431148718341
"\\Pc-20220516lkig\F\cxt-1\CAD-图纸\（王建忠）9月份copy\RoHs UL 资料填写\UL与SGS认证资料\硅胶高温线-迈尔盛\3239规格书.pdf",1,134253650573122856
"C:\Users\Administrator\xwechat_files\wxid_dqrhe3soaxsh22_5e85\msg\file\2026-05\UL1332系列.pdf",1,134251883291560199
"\\Pc-20220516lkig\F\阳帅工作文档\CAD\钜力能",1,134251844994488521
