Filename,Run Count,Last Run Date
"\\User-20230521vs\G\阳帅工作文档\CAD\深圳市大族贝金装备有限公司\NHF260025\客供\2026-05-20\NHF260025-440401-000A 侧发热膜组件",1,134288357146962590
"\\User-20230521vs\G\阳帅工作文档\CAD\深圳市大族贝金装备有限公司\NHF260025",1,134288353885541690
"\\Desktop-osh296i\e\（王建忠）9月份copy\供应商（杂类）\东莞市群跃电子材料科技有限公司\公司新彩页版本.pdf",1,134287641340067225
"\\User-20230521vs\G\阳帅工作文档\CAD\惠州鑫能\XN-GXP-110R-01-218-F-DZ 硅胶发热板\XN-GXP-110R-01-218-F-DZ  装配体220V3000W 988×1228MM  温度测试报告.xlsx",1,134287537938449120
"\\User-20230521vs\G\阳帅工作文档\CAD\惠州鑫能",1,134287537378091410
"\\Desktop-osh296i\e\（王建忠）9月份copy\客供图纸\惠州市鑫能自动化设备有限公司",1,134287537357848806
"\\User-20230521vs\G\阳帅工作文档\CAD\深圳市大族贝金装备有限公司\NHF250040-230101-100A 发热膜组件（619套 阮焕负责）\生产\NHF250040-231101-003A 发热膜铝板（WJ-000800403）6061 1650x1499x2mm.dwg",1,134287535428127019
"C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\TFS260104T-01-01-01-01 发热主板（WJ-000800532）1650×1155×18T（已更新探头孔和M8牙孔位置）20260526.dwg.lnk",1,134287535154356801
"E:\彭福明\CAD-图纸\深伟业科技有限公司（东莞市辉环科技有限公司）",1,134287486982860220
"E:\彭福明\CAD-图纸\吉星\生产\CXT-010301121 硅胶加热膜 57.6V 106W 255X148mm\CXT-010301121 硅胶加热膜 57.6V 106W 255X148mm 成品图 (A2版).pdf",1,134287444195783127
"\\User-20230521vs\G\阳帅工作文档\CAD\徐州九极动力科技有限公司\生产\CXT-010301214 6080加热膜亿纬(线长500) 料号：04-0010  600819 64V205W 400×270mm\CXT-010301214 6080加热膜亿纬(线长500) 料号：600819 64V205W 400×270mm 成品图.dwg",1,134287442633145531
"\\User-20230521vs\G\阳帅工作文档\CAD\徐州九极动力科技有限公司\生产\CXT-010301215 7280加热膜亿纬(线长500) 料号：04-0011  600820 73V234W 405×320mm\CXT-010301215 7280加热膜亿纬(线长500) ( 料号：04-0011) 73V234W 446×326 最新版生产资料  二次变更外形尺寸.dwg",1,134287442433155358
"\\User-20230521vs\G\阳帅工作文档\CAD\徐州九极动力科技有限公司\生产\CXT-010301252 64100加热膜(线长600mm) (料号：04-0026  600822) 64V205W 377×460mm\CXT-010301252 64100加热膜(线长600mm) (料号：600822) 64V205W 377×460mm 成品图.dwg",1,134287442270620476
"\\User-20230521vs\G\阳帅工作文档\CAD\徐州九极动力科技有限公司\生产\CXT-010301274 73100加热膜(线长600mm) (料号：04-0027  600823) 73.6V235.5W 524×343mm",1,134287442081069033
"E:\阮焕\项目\K000417 (瑞普森---硅胶热床加热板)\CXT-050700234 发热板组件 (R158S06879)299×299 230V594W\4股线×0.75mm，完成外径φ8.2mm 耐温180度（硅胶材料---硅胶材质）---旧电源线规格书.jpg",1,134287273754162732
"C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\NHF260025-440401-000A 侧发热膜组件.lnk",1,134286343207586935
"E:\刁德升\1.图纸\亿伟达\铁壳发热器\最新图纸及资料20200910整理\生产\WJ-001000038 外壳已开槽（客户修改四个孔为2.2）第二版.dwg",1,134285785624200711
"\\Pc-20220516lkig\F\cxt-1\CAD-图纸\（王建忠）9月份copy\CAD-tuzhi\江西安驰新能源科技有限公司\安驰PPAP文件\维德叉车项目 PPAP改善资料2020.09.28\安驰ROHS报告及样品检测报告\3135规格书.pdf",16,134285769445448026
"\\User-20230521vs\G\阳帅工作文档\CAD\曼德电子\端子铆压模具开制说明20260203.docx",1,134285732975943855
"\\Desktop-osh296i\e\（王建忠）9月份copy\工序流程图 & QC工程表\工艺流程图（记工时，定产能）\惠州亿纬锂能股份有限公司\pi加热膜（背胶）-工序流程图-第一版-Model.pdf",1,134285714917402092
"\\Desktop-osh296i\e\张守剑-CAD-图纸\深圳市正峰印刷有限公司\生产\ZF-PI电热膜-26v-75w-205.8-65mm-第一版-16-12-24\ZF-PI电热膜-26v-75w-205.8-65mm-第一版-工序流程图.pdf",1,134285714794379577
"\\Desktop-osh296i\e\（王建忠）9月份copy\工序流程图 & QC工程表\工艺流程图（记工时，定产能）\惠州亿纬锂能股份有限公司\pi加热膜（背胶）-工序流程图-第一版 模型.pdf",1,134285714566671506
"\\Pc-20220516lkig\F\郭萃云工程文件\天津中电\CXT-010200493 352028310300063 PI电热膜 61.7V 590-115mm\CXT-3452 菲林图.dwg",1,134284685852359217
