Search,Search Count,Last Search Date
"展会",2,134266663196791373
"^C:\\Users\\Administrator\\Desktop\\",150,134266662530750975
"伯伦克",1,134266534238759957
"CXT-3832",1,134266533449090283
"TKL162000001",1,134266530154332444
"报告",1,134266527717556409
"3885",1,134266505615774508
"时代高科",3,134266019445771140
"260025",8,134266018419415780
"1204T",8,134266015913374988
"0403",2,134266013570768908
"104T",1,134265909354245425
"3886",3,134265801572644710
"TDH193",1,134265735666822708
"恒力",2,134265691672758103
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\时代高科\\TFS260403T\(51套\)\\生产\\4楼\\",5,134265664280309574
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\时代高科\\TFS260403T\(51套\)\\生产\\4楼\\.* 模型",1,134265647152390957
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\时代高科\\TFS260403T\(51套\)\\生产\\4楼\\.*plot",1,134265646348244236
".pdf$",1,134265641614045270
"3881",3,134265629211927365
"^E:\\阮焕\\项目\\K000455 \(恒力源\)\\.*3524",2,134265605550810654
"^E:\\阮焕\\项目\\K000455 \(恒力源\)\\",1,134265604982236015
"250037",2,134265073846765822
"0403T",2,134265071261143060
"cxt-3828",2,134265047704662245
"cxt-2963",1,134264960031607615
"cxt-2693",1,134264959865478795
"cxt-2193",1,134264959770725474
"DZ-000200079",5,134264870099611340
"3884",1,134264860908556942
"0401T",1,134264856911236169
"1005T",2,134264834959348923
"3883",1,134264833400653910
"3",1,134264833362093500
"00500020",1,134264828353954809
"51",1,134264824683754822
"3856",1,134264763492089430
"恒力源",2,134262353603585130
"857W",1,134262252249961624
"3593",2,134262230821003440
".*wj.*挡板",1,134262217338212552
"挡板",1,134262216197786441
"3135.*pdf$",1,134261604277502118
"中车",1,134261583290125782
"cxt-1760",1,134261580265783021
"388",1,134261566804325721
"格林",4,134261556806419983
"威特盛",1,134261526437229065
"邯郸",4,134261333361663541
"线头",3,134260831212143394
"螺丝库",5,134260749904386882
"热电阻探头A型.*dwg$",1,134260746056641438
"DZ-000500008",1,134260704367000908
"远东",1,134260640330668306
"吉星",5,134260634046137364
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\时代高科\\项目TFS250610TA发热板（6种发热板组件）192套\+12套\\.*sldasm",1,134260550314593030
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\时代高科\\项目TFS250610TA发热板（6种发热板组件）192套\+12套\\",2,134260550240504679
"WJ-001000089",2,134260549554590051
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\时代高科\\.*601",1,134260548715525445
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\时代高科\\",1,134260548622217558
"亚侨",1,134260533325613655
"保定",1,134260533050194332
"Ican",1,134260452601894870
"浠垮畫",1,134260430060191415
"260029",2,134259934854844373
"WJ-000300060",1,134259775206452751
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\时代高科\\TFS260403T\(51套\)\\生产\\模型\\",1,134259769157458585
"5p4s",1,134259569481955855
"805006000179",2,134259565534239921
"TBQ-PJ-002-01",1,134259020885229615
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\时代高科\\TFS260104T-01-01-01-00（订单：10套）\\.*挡板",1,134259016168291912
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\时代高科\\TFS260104T-01-01-01-00（订单：10套）\\",1,134259016014149637
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\时代高科\\TFS260403T\(51套\)\\生产\\",2,134259014997274479
"1p16s 硅胶加热膜A & B 25.6V50W 417-109.9mm 规格图 客户确认",1,134258066041545263
"^\\\\Pc-20220516lkig\\F\\万文强工程文件\\天津中电\\赵工负责项目\\1p16s 硅胶加热膜A & B 25.6V50W 417-109.9mm 规格图 客户确认",1,134258065407131757
"^\\\\Pc-20220516lkig\\F\\万文强工程文件\\天津中电\\赵工负责项目\\",1,134258064931070138
"万文强工程文件\\天津中电\\赵工负责项目",1,134258064763516842
"76.8V150型",1,134258022658657197
"2963.*dwg$",1,134257929123734857
"2693.*dwg$",1,134257928645970994
"cxt-2287",3,134257888320536196
"3867",1,134257887536234997
"丰日",1,134257205640869559
"3857",1,134257162505133064
"docx.*",1,134257097635614591
"3684",1,134257093772394368
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\时代高科\\TFS260104T-01-01-01-00（订单：10套）\\温度测试报告\\客户提供其他家的温度测试报告\\",1,134257093718407767
"TFS260104T",1,134257066549904756
"250040",1,134256999699534242
"3861",1,134256960655661255
"循环.*实验报告.",1,134256434153525729
"实验报告",2,134256433572052408
"恒温恒湿",1,134256430789852430
"3741",1,134256341241883611
"3676",2,134256096033893519
"3742-001",1,134256095361070790
"3847",1,134255345091887624
"3027.*dwg$",1,134255295034688709
"3676.*dwg",1,134253767109278512
"CXT 发热体组件",1,134253756400050657
"3239.*pdf$",1,134253650527872848
"JR-01-077",2,134253579565881441
"JR-01-127-",1,134253521953718326
"^E:\\彭福明\\CAD-图纸\\格林赛福（惠州劲驰）\\3\.9\.0002814 PI加热膜 25\.6V230W 218x203mm\\",1,134253514961986865
"3847.*dwg$",2,134253514674165532
"迈科",1,134252083012391816
".mp4$",1,134252079211628083
"147",1,134252026574742171
"积辉",2,134252025893890503
"格",1,134251989129910702
"1332.*pdf$",1,134251883289225892
"钜力能",10,134251865790524413
"宝珠",1,134251861901265890
"钜力能.*5",1,134251845896174057
"C:\Users\Administrator\Desktop\ ",9,134251845283134310
"螺丝",6,134251819758737977
"螺",1,134251352124324186
