Search,Search Count,Last Search Date
"260025",26,134288353882979211
"^C:\\Users\\Administrator\\Desktop\\",2139,134288351495898503
"UL3135",2,134288297705403872
"UL1332",1,134288297568757713
"吉星",15,134288261449906818
"3932",1,134288198864079878
"参展",7,134288171390467163
"cxt-3894",1,134288169453805955
"cxt.*3927",1,134288141424020114
"会刊收集表-2026越南国际电池及储能技术展",1,134288106262333999
"聚",2,134288100873931486
"3135.*dwg",1,134288089878566944
"cxt-3898",1,134288067637046112
"3135.*pdf$",20,134287652471358823
".dxf$",1,134287650183039102
"彩页.*pdf$",1,134287641287782292
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\惠州鑫能\\.*988",1,134287537894577024
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\惠州鑫能\\",2,134287537829782850
"鑫能",5,134287537253316506
"250040",9,134287535403912357
"0104T",2,134287535149558183
"3894",2,134287518404119307
"深伟业",3,134287486966368021
"251204",2,134287444836295302
"CXT-010301121",1,134287444189140761
"cxt-3113",1,134287443870153212
"CXT-3130",1,134287443034551792
"CXT-010301214",1,134287442628662817
"CXT-010301215",1,134287442431119689
"CXT-010301252",1,134287442268615858
"CXT-010301274",1,134287442079097820
"线.*耐温",1,134287273646154143
"迈尔盛",4,134287273384783497
".*stp$",1,134286675231191388
".dwg$",5,134286346651650668
"WJ-001000038",1,134285785621350693
".md$",1,134285774195358819
"拉力计",1,134285735589517397
"端子铆压",1,134285732942947562
"pi.*工序",1,134285714509946901
"APQP",2,134285707227454311
"试产",1,134285703778850054
"FA1410-M21A-002-1400-01",1,134285695333940966
"FA1410-M21A-002",1,134285694969165154
"0403T",6,134285675807366818
"cxt-3228",3,134284917039607785
"cxt-3265",2,134284916751015485
"cxt-3154",1,134284916495143505
"cxt-2792",2,134284883481293409
"博利",1,134284845176504157
"cxt-3452",2,134284685850289714
"cxt-3451",2,134284685771723503
"0502T",12,134283859151470030
"0903T",2,134283858093182452
"3904",2,134283821818695333
"video",1,134283775351706660
"FA1414-M21A-002-1210-01A_",1,134283128540706916
"FA1414-M21",2,134283128181763321
"3676",1,134282335643484580
"39",1,134282133596524055
"泰美",2,134282131020903043
"实验报告",3,134282130737578964
".docx$",1,134282124191111362
"气动热压机",1,134282068463483268
"表单编号 & 文件编号 整理",1,134282057604669573
"^\\\\Desktop-osh296i\\e\\（王建忠）9月份copy\\螺丝库\\.*平头",1,134281407732433792
"^\\\\Desktop-osh296i\\e\\（王建忠）9月份copy\\螺丝库\\",13,134281407572154826
"螺丝库",17,134281407499125792
"3686",1,134280338615320930
"PDF线束规格提取与排序",1,134279734882476962
"迈尔",1,134279721819618102
"金特",1,134279719615186874
"美",1,134279719150986133
"永招电子",1,134279679286906045
"伯伦克",7,134279676252027120
"易宝",1,134279676121456082
"金特维",1,134279654913532431
"rohs",2,134279650994839527
"传琪",2,134279645922649166
"三科",2,134279641649992871
"^\\\\Desktop-osh296i\\e\\（王建忠）9月份copy\\供应商（杂类）\\",5,134279640835722666
"供应商",6,134279640669762877
"^\\\\Desktop-osh296i\\e\\（王建忠）9月份copy\\供应商（杂类）\\.*隆",2,134279568296310707
"^\\\\Desktop-osh296i\\e\\（王建忠）9月份copy\\供应商（杂类）\\.*55236",1,134279566093720227
"^\\\\Desktop-osh296i\\e\\（王建忠）9月份copy\\供应商（杂类）\\.*3M",1,134279565776503979
"3912",3,134279538441836238
"WJ-000300053",1,134278827660558548
"3367",1,134278643617330138
"3098",1,134278643398568149
"胡连",1,134278634079885385
"minimax",1,134278613737198613
"3077.*dwg$",1,134278006086934854
"3274",1,134278005414914671
"样品承认",1,134277980514901168
"亿纬",1,134277958336118840
"3872",2,134277905211432172
"3904.*",1,134277772560437057
"圣恩",3,134277764882632923
"^\\\\Desktop-osh296i\\e\\（王建忠）9月份copy\\样品承认书\\",2,134277760602087437
"5557",1,134277759495198857
"^\\\\Desktop-osh296i\\e\\（王建忠）9月份copy\\样品承认书\\圣恩迪\\.*doc",1,134277751314964885
"^\\\\Desktop-osh296i\\e\\（王建忠）9月份copy\\样品承认书\\圣恩迪\\",2,134277751222187314
"温感.*(OT)?.*doc",1,134277750723477692
"CXT-010200500",1,134277724313518450
"CXT-010500013",1,134277723396961044
"3265.*dwg",1,134277721483388733
"恒力",1,134277716938350163
"3587.*dwg$",3,134276256577459873
"3711.*dwg$",1,134276223555572659
"WJ-001000079",1,134276170587657836
"FA1410-M21A-018",1,134276091937445318
"1410",2,134276091779506271
"3710.*dwg",2,134275999184688486
"3711.*dwg",1,134275380582886787
"DH09",1,134275225889798732
"3748.*dwg$",2,134251323320685458
"3741-001",2,134251019884749777
"925x",1,134250968097756908
"3741.*dwg$",2,134250935924572315
"CXT-3742-001",1,134250519818298989
"3833.*dwg$",1,134250426169698279
"M4.*12.*sldprt",3,134250383251985057
"3840.*dwg$",1,134250144847141524
"3840",1,134250144352435868
"TFR250204T",2,134250056348014032
"1204T",16,134249415227400217
"CXT\-010301573",1,134249328151964425
"CXT-010301573 24V-240W硅胶加热膜420-110",1,134249327308328905
"3842.*dwg$",1,134249327174484551
"CXT-3622-001",1,134249310177723417
"格林",2,134249273563152667
"260029",20,134249238267355908
"3746.*dwg$",1,134249195004145493
"3748.*",1,134249193958153263
"cj03",5,134249186896172037
"3842",2,134248525280937802
"3710",3,134248390678102614
"3592-001",1,134248378364538220
"3592",5,134248373280457134
"天芝光",1,134247764520715422
"dummy",1,134247682531030490
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\深圳市大族贝金装备有限公司\\NHF260025\\客供\\2026-06-01\\数据集-2026-06-01 09-32-47\\",3,134247600290818595
"CXT-010300965",1,134247497244122806
"硅翔",2,134246066222821273
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\时代高科\\.*0903T",1,134245870203888610
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\时代高科\\.*ntc",1,134245869771238731
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\时代高科\\",22,134245869721433609
"1023T",1,134245869686385480
"速波",8,134245793180090067
"3435.*dwg$",1,134245279398975585
"3434.*dwg$",1,134245278715799768
"3774-001",2,134245251142916815
"3728.*dwg$",4,134245247004266238
"能亿",1,134245244584037480
"dwg$",18,134245186444613379
"\\User-20230521vs\G\阳帅工作文档\CAD\深圳市大族贝金装备有限公司\NHF250040-230101-100A 发热膜组件（619套 阮焕负责）\生产",1,134245177913892551
"3828",2,134245066062571069
"伯伦",1,134244978982093187
"LD130-2",1,134244959385095430
"古得",3,134244924695738671
"3434",2,134244901207031361
"3828.*dwg$",1,134244878544772622
"3512.*pdf$",5,134244868209049518
"00318",1,134244427617715918
"邯郸",16,134244324441169276
"tigress.extended.dict.yaml",2,134244285970144523
"CXT-010301268",1,134244263701625663
"3713",1,134244258108434894
"HC03-X10-240Z2",1,134244128328058258
"WJ-000300039",1,134243568774061772
"WJ-000300033",2,134243568605138029
"WJ-000700003",3,134243568343857933
"中车",1,134243560484477264
"pdf",1,134243552982431827
"260029*",2,134243552714622056
"格林赛福",2,134243400459715174
"CXT-3592.",1,134243365936965215
"CXT-050700271",2,134243245077507312
"dummy.*sl",1,134242553189000287
"3476.*dxf$",1,134242506328848941
"CXT-3476-C ",1,134242479638707671
"3342-C",3,134242479363824749
"热电阻探头.*dwg$",1,134241725085943491
"^\\\\Desktop-osh296i\\e\\（王建忠）9月份copy\\供应商（杂类）\\.*红星",1,134241512928670240
"3804",1,134241470254960400
"3341",6,134240128712894391
"泰德",7,134240096871154172
"亚华",5,134239880295390020
"3818",1,134239879337751513
"热电阻.*dwg$",2,134239748663800832
"温控开关",1,134239748481060914
"行者",1,134239146807488020
"电.*箱",1,134239140878462443
"控电",3,134239140254782494
"412ah",2,134239111695331649
"仪器.*doc",1,134239095427113304
"仪器",1,134239095112657991
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\海目星\\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\\FA1410-M21A-018-1200-00B\(CXT-050700318\) 发热板 220V44\.78kW 2942x2564mm\\生产\\打样\\.*\-001.*割成品",1,134239055391432648
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\海目星\\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\\FA1410-M21A-018-1200-00B\(CXT-050700318\) 发热板 220V44\.78kW 2942x2564mm\\生产\\打样\\.*\-00[23].*割成品",2,134239055233597165
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\海目星\\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\\FA1410-M21A-018-1200-00B\(CXT-050700318\) 发热板 220V44\.78kW 2942x2564mm\\生产\\打样\\.*割成品",2,134239055185682061
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\海目星\\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\\FA1410-M21A-018-1200-00B\(CXT-050700318\) 发热板 220V44\.78kW 2942x2564mm\\生产\\打样\\",4,134239054904716256
"3775-001",2,134239018150280502
"2281",1,134238869691302753
"412",1,134238859481337961
"3819",1,134238846973915429
"3812",3,134238846908678010
"成品刀模.*dwg$",1,134238169108476668
"3811",1,134238168778038738
"3816",2,134238168631395881
"3807",2,134238168488848693
"illustrator",2,134238166870519603
"\.pdf$",1,134238095113585973
"3816.*dwg$",1,134238077880943159
"智捷",4,134238029374685362
"cxt-3815",1,134237555236439005
"3812.*dwg$",2,134237548828082131
"cxt-3815.*",1,134237547003049328
"3786.*dwg$",1,134237527884637375
"^E:\\彭福明\\CAD-图纸\\吉星\\.*stp.*",1,134237413664750677
"^E:\\彭福明\\CAD-图纸\\吉星\\",1,134237413592924585
"dxf",1,134237227000805056
"3776",1,134237219075127288
"2881",1,134237191137750274
"3802.*dwg$",1,134237185006754756
"3802",1,134237184940949005
"3801",1,134237184919074477
"3693.*dwg$",1,134237167285218838
"爱科",1,134236663414049437
"湖南丰日",1,134236629521003936
"透明.*发热.*dwg$",1,134236611722183095
"发热管.*dwg$",1,134236566276993802
".*dwg$",9,134235431121964142
"1332",6,134233725453607013
"3",4,134233671148047281
"3434-大",1,134233096788385084
"3736-001",2,134231462707313006
"CXT-3757",1,134231348062763898
"3757",1,134231347993988612
"CXT-3786 ",1,134231347553866165
"3017-001.*dxf",1,134231329916410806
"3760.*dxf",1,134231329338829085
"3736.*dwg$",1,134231143318187915
"3735.*dwg$",1,134231140865821058
"1204T.*dwg$",1,134229540010258806
"3622.*dwg$",1,134229435694151071
"3340",7,134229383722866026
"3736.*dwg",1,134229318156107551
"dummy.*sld",1,134229317597228635
"螺丝.",1,134227900693933885
"M4x10",1,134227900410857817
"力奥",7,134227846756080013
"507.*320.*mm",1,134227844527065553
"2249-001",2,134227665947982853
"3767",5,134227665764719797
"ET-006",1,134227605668355212
"2251",2,134226971956175806
"2251-001",2,134226079496453956
"001",2,134225206409013141
"CXT-010200553",1,134225109375189983
"3741",5,134225108222656410
"3132.*pdf$",2,134225084919951858
"JR.*-103",1,134225077619624425
"^\\\\User-20230521vs\\g\\阳帅工作文档\\CAD\\海目星\\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\\FA1410-M21A-018-1200-00B\(CXT-050700318\) 发热板 220V44\.78kW 2942x2564mm\\生产\\打样\\.*排",1,134225076509957232
"^\\\\User-20230521vs\\g\\阳帅工作文档\\CAD\\海目星\\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\\FA1410-M21A-018-1200-00B\(CXT-050700318\) 发热板 220V44\.78kW 2942x2564mm\\生产\\打样\\.*dwg",1,134225076136031958
"^\\\\User-20230521vs\\g\\阳帅工作文档\\CAD\\海目星\\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\\FA1410-M21A-018-1200-00B\(CXT-050700318\) 发热板 220V44\.78kW 2942x2564mm\\生产\\打样\\.*001.*盖皮",1,134225075618308791
"^\\\\User-20230521vs\\g\\阳帅工作文档\\CAD\\海目星\\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\\FA1410-M21A-018-1200-00B\(CXT-050700318\) 发热板 220V44\.78kW 2942x2564mm\\生产\\打样\\.*003.*盖皮",1,134225075540350500
"^\\\\User-20230521vs\\g\\阳帅工作文档\\CAD\\海目星\\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\\FA1410-M21A-018-1200-00B\(CXT-050700318\) 发热板 220V44\.78kW 2942x2564mm\\生产\\打样\\.*002.*盖皮",1,134225075487871114
"^\\\\User-20230521vs\\g\\阳帅工作文档\\CAD\\海目星\\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\\FA1410-M21A-018-1200-00B\(CXT-050700318\) 发热板 220V44\.78kW 2942x2564mm\\生产\\打样\\.*菲林图",1,134225075207290197
"^\\\\User-20230521vs\\g\\阳帅工作文档\\CAD\\海目星\\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\\FA1410-M21A-018-1200-00B\(CXT-050700318\) 发热板 220V44\.78kW 2942x2564mm\\生产\\",4,134225063112314617
"250046",5,134224434215266865
"250037",1,134224434002455213
"3677",3,134224415915236326
"3754",1,134224221917497028
"3728",5,134224175932181867
"3628",5,134224175836549947
"邯郸C3",1,134223730851443655
"C",1,134223730723867102
"3729",1,134223491805912562
"3746",1,134223263680735689
"0.78/",1,134222725432585854
"010200521",1,134222661307747797
"cxt-3443",2,134222615142597159
"conda.exe",2,134220105136054684
"dh31",5,134219878843302776
"3696",8,134219811961439935
"3742",2,134219355344998191
"2249",1,134218967160567648
"3544",1,134218960515554174
"cuix",1,134218564663259112
"威能",5,134218489062924243
"3317",3,134218367945607585
"3317.*dwg$",1,134218328485538681
"3627",4,134218146195553426
"3735-001",1,134217666241099317
"3538",7,134217450386921922
"1203",2,134217447399141153
"海目星",8,134217435286260961
"菲林开料图.*dxf$",2,134217248587691681
"3735",2,134217219267795201
"3705",2,134217217877289358
"3512",3,134215630309070386
"小发热膜",2,134215618477109616
"^E:\\SolidWorks Backup\\.*发热板上板5",1,134215562861696161
"^E:\\SolidWorks Backup\\",3,134215562652091533
"CJ01",1,134214657418537663
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\海目星\\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\\FA1410-M21A-018-1200-00B\(CXT-050700318\) 发热板 220V44\.78kW 2942x2564mm\\生产\\.*[上下]板.*\.dwg$",3,134214096685429124
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\海目星\\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\\FA1410-M21A-018-1200-00B\(CXT-050700318\) 发热板 220V44\.78kW 2942x2564mm\\生产\\.*板.*\.dwg$",1,134214081877743231
"\\User-20230521vs\G\阳帅工作文档\CAD\海目星\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\FA1410-M21A-018-1200-00B(CXT-050700318) 发热板 220V44.78kW 2942x2564mm\生产",1,134214070438051661
"3370",1,134214066481328110
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\海目星\\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\\FA1410-M21A-018-1200-00B\(CXT-050700318\) 发热板 220V44\.78kW 2942x2564mm\\生产\\.*pdf",1,134213850765797199
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\海目星\\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\\FA1410-M21A-018-1200-00B\(CXT-050700318\) 发热板 220V44\.78kW 2942x2564mm\\生产\\.*igs",1,134213850496387264
"3740",1,134213842523894341
"3675",1,134213224722641115
"nhf",6,134213179932399462
"CXT-010200220",1,134213102215573865
"3700",2,134212473282873652
"3471",4,134212473265987461
"3587",14,134212438905184526
"3377",20,134212273301844023
"0311.0046",1,134211556184447624
"3461",8,134211276767853252
"3239.*dwg$",1,134211214479211400
"JR",2,134211212248104607
"威锐",19,134211196389876249
"VDE13-E11-006",1,134209911779718348
"CXT-010500111",1,134209911446784847
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\东莞哈工自控科技有限公司\\",7,134209911408230636
"VDE18-E11-006A",1,134209910888743297
"钜力能",8,134209761733219887
"宇尚",2,134209745758786737
"3643",3,134209677596102649
"3635",1,134209663801800661
"JR-01",1,134209518500523093
"step",1,134208037876129228
"9合1",1,134207999613959362
"1005T",30,134207758780407330
"3717",1,134207093604983121
"1205T",1,134206888691138963
"1332.*pdf$",8,134206303588267019
"tigress.extended.dict",1,134206204711254178
"优",1,134206185505192230
"泰",1,134206094770587219
"9合",1,134205607178476998
"CXT-010301491 30311.0086 硅胶电热膜02 12V50W 159x114mm",1,134205604258503588
"安培",1,134205600795058330
"3580",1,134205594945955008
"九极",5,134205431080505675
"ap01-x02",2,134205339383097220
"3587-001",1,134205254066498294
"天津",5,134203682270908838
"30",2,134203465028762090
"3708",2,134203448839022391
"3699",1,134203448687350126
"-大.*dwg$",1,134203447074774584
"dwg",1,134202999490321073
"CXT-2071",1,134202862590851352
"AP01-X02-370",1,134202589478925086
"淄博火",1,134201939504064893
"3666",5,134201877024205452
"新途动力",3,134201865576163678
"TFS260104T",1,134201275759132206
"^\\\\Pc-20220516lkig\\F\\万文强工程文件\\天津中电\\.*温升",1,134201121442391167
"^\\\\Pc-20220516lkig\\F\\万文强工程文件\\天津中电\\",16,134201121378687272
"天津中电",13,134201107814317643
"AP01-x02-370z1",1,134200913109951047
"cookiecutter.*lsp",1,134200143776200225
"安弋",12,134200056016913217
"0029",5,134200035140688182
"3612",17,134200031761605892
"山东",4,134199114590289074
"山东威能",2,134199113361534598
"2290.*dw",1,134197612603276752
"3667",2,134197612114053087
"3445.*dwg",1,134197560725662084
"3445.*dxf$",1,134197481960935619
"0025",6,134197424577124332
"51.2V",1,134197416271929275
"3704",1,134196913190789252
"火炬",1,134196884822425483
"3634",1,134196746919111439
"3534",1,134196746801060211
"3135.*pdf",21,134196703822510093
"3666-",1,134196621798564013
"3377.*dwg$",4,134196616780566818
"3677.*dwg$",1,134196513118790425
"3666.*dwg$",1,134195906969450538
"0046",1,134195882687904262
"3655.*dwg$",1,134195846989167794
"兰欣",2,134195684679027076
"特供",1,134195627826487551
"3612.*dwg",2,134195624094374658
"^E:\\ZWCAD Backup\\.*3612",1,134195622646008972
"^E:\\ZWCAD Backup\\.*3613",1,134195621899833528
"^E:\\ZWCAD Backup\\",5,134195621802003191
"3612.*dwg$",2,134195207144539004
"nhf.*46",10,134195179357906862
"^::\{645FF040-5081-101B-9F08-00AA002F954E}\\",3,134195033256873940
"3656.*dwg$",1,134194863159843355
"3638.*dwg$",1,134194301030994160
"改.*180.*",1,134194175022590977
"CXT-02-",1,134194163424244812
"测试实验",1,134194162316927905
"说明书",1,134194161796773723
"规格书",1,134194161610984459
"3676.*dwg",1,134193996947290388
"cxt\-3687",1,134193917162263085
"1204",11,134193449984248752
"1205",1,134193449910969303
"commandAdaptiveWJZ",1,134193074657951164
"^C:\\Users\\Administrator\\Desktop\\数据集-2026-03-19 10-25-06\\",5,134191601638521020
"^C:\\Users\\Administrator\\Desktop\\数据集-2026-03-19 10-25-06\\.*0025",1,134191601617138513
"2789.*dwg",1,134191559556033217
"3629-",1,134191401505394310
"3588",4,134191348045430104
"3651",6,134190756352136003
"3645",1,134190650970587243
".*nhf.*46.*dwg$",1,134190644329499956
"宇能通",3,134190570054042368
"螺丝",7,134190441077569622
".*25项目.*侧",1,134189891943755209
".*25项目.*侧发热铝板",1,134189891904932499
".*46项目.*侧发热铝板",2,134189891879881379
"3638",6,134189835826087368
".*46项目.*侧发热",1,134189801235535123
".*57项目.*侧发热铝板",1,134189796292453404
"^\\\\Desktop-osh296i\\e\\（王建忠）9月份copy\\CAD-tuzhi\\深圳市大族贝金装备有限公司\\NHF240057项目\\生产资料\\3D\\.*侧发热铝板",1,134189796112038825
"^\\\\Desktop-osh296i\\e\\（王建忠）9月份copy\\CAD-tuzhi\\深圳市大族贝金装备有限公司\\NHF240057项目\\生产资料\\3D\\",3,134189795897689664
".*NHF.*57项目.*sldasm",1,134189789281061553
"^\\\\Desktop-osh296i\\e\\（王建忠）9月份copy\\CAD-tuzhi\\深圳市大族贝金装备有限公司\\NHF240057项目\\生产资料\\3D\\.*sldasm",1,134189788658809903
"46",2,134189636837687314
".*nhf.*46",3,134189601296295393
"nhf.*46.*dwg$",1,134189573616672923
"云母十字",1,134189570444435293
"sld.*$",1,134189173876233781
"PTC发热.*dwg$",2,134189035480193763
"云母",1,134189020904824860
"VDE.*-E11-006A.*dwg$",2,134188990574118174
"VDE.*-E11-006A",1,134188986425747042
"哈工",21,134188964893629071
"改180",3,134188912379101796
"中科德方",3,134188762944831328
"solidworks.*setup.exe$",1,134188269161201122
"^C:\\Users\\Administrator\\Desktop\\数据集-2026-03-19 10-25-06\\.*sld.*$",1,134188167512698717
"^C:\\Users\\Administrator\\Desktop\\数据集-2026-03-19 10-25-06\\.*260029.*",1,134188167224362122
"3648",1,134188139031576901
"025",1,134188078847797762
"03-A",1,134187932011183111
"cxt-2503",1,134187931722013835
"cxt-2503.*dwg$",1,134187931495379432
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\深圳市大族贝金装备有限公司\\",9,134187424759742914
"M5.*12.*sldprt$",1,134187422912054466
"M5.*12.*sldprt",1,134187422869605835
"大族贝金.*46.*docx",1,134187415623900164
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\深圳市大族贝金装备有限公司\\NHF240046-360201-000A发热膜组件（928件\+106件）\\.*dox",1,134187415385455388
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\深圳市大族贝金装备有限公司\\NHF240046-360201-000A发热膜组件（928件\+106件）\\",1,134187415313097362
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\深圳市大族贝金装备有限公司\\NHF260025\\客供\\2026-03-19\\数据集-2026-03-19 10-25-06\\",2,134187408000888106
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\深圳市大族贝金装备有限公司\\NHF260025\\客供\\2026-03-19\\数据集-2026-03-19 10-25-06\\.*0029",1,134187303930790104
"3377-D",4,134187298001930139
"大族",3,134187297980431982
"3653",1,134187275941662584
"nhf250037",1,134187061165488595
"内六",1,134187018632494052
"号码管",1,134187004114636403
"电阻探头",1,134186988262403539
"10",2,134185710229855793
"3629",2,134185536849390675
"力高.*刀模",1,134184841907385510
"热电阻探头A型.*dwg$",1,134184776756338556
"3627-A",1,134184692118942551
"3454",1,134184623439862313
"1.*pdf$",1,134183937490116531
"001700144",1,134183845996269383
"JR-01-095",1,134183791162202940
"宇能",1,134183730361359930
"陶瓷温控.*dwg$",1,134183660314916998
"DZ-000200071",1,134183660249388068
"WJ.*102",1,134183650187995052
"00089",2,134183649677922232
"300033",1,134183649335165441
"300031",1,134183648316236148
"300040",1,134183647139081612
"300062",1,134183646223774127
"300059",1,134183644129437794
"300060",1,134183643441956211
"M4.*垫",1,134183637232525459
"DZ-000200059",1,134183577428608484
"cxt-3632",2,134183550920676008
"3632",1,134183550867063425
"3627.*dwg",1,134183550769068753
"cxt-3587",1,134182870556746133
"cxt-3651",1,134182864795236971
"cxt-3602.*dwg$",1,134182780558640310
"3371.*dwg",1,134182748881995102
"3631.*dwg$",1,134182720028235902
"\\User-20230521vs\G\阳帅工作文档\CAD\徐州九极动力科技有限公司\打样\72V100Ah中航(24串缩尺寸)（线长400mm）（料号：04-0044）76.8V245W 614×325",1,134182702667881919
"3651.*dwg",1,134182698259479762
"cxt.3533",1,134182688774451989
"AP01",1,134182678575796863
"WJ-00050017",1,134182260744634635
"M4.*sldprt",1,134182248644028645
"3650.*dwg$",1,134182203298372607
"3557.*dw",1,134182199085155921
"3649.*dwg",1,134182191179280192
"3503-A",1,134182129467518647
"客供",1,134182109256915563
"新途",1,134182103378692707
"徐州",1,134181900563756205
"3509",1,134181898184507782
"时代",24,134181842629448126
"测温",2,134181307118985647
"临时",1,134181240974071684
"^E:\\ZWCAD Backup\\.*开料",2,134180928188985120
"2746",1,134179598262048582
"parametric.psf",1,134179426061711332
"Creo Parametric 8.0.0.0",1,134179425592344524
"creo.*exe$",1,134179425139964487
"3626",1,134178735839754227
"3644",1,134178721119025539
"安",1,134178564213451246
"力",1,134178434505659076
"3346",4,134178429333540523
"威",2,134178383303875022
"力奥 ",1,134178355954214782
"CXT.*A4",1,134178354614126948
"WJ-001000089",1,134178347618175798
"2898.*dwg$",1,134177894309818465
"赵鹏飞",1,134177805092989316
"1400W",3,134177783352237399
"3620",6,134177733138706841
"180",2,134177727307745106
"已知温升，比热容，重量和升温时间，计算功率 - 副本",2,134177718218284211
"^\\\\Desktop-osh296i\\e\\（王建忠）9月份copy\\CAD-tuzhi\\杭州力奥科技有限公司\\.*",1,134177717157241368
"^\\\\Desktop-osh296i\\e\\（王建忠）9月份copy\\CAD-tuzhi\\杭州力奥科技有限公司\\",1,134177717030932219
"OT.*sldprt",2,134177545197390235
"LJ.*RNB.*sl",1,134177544542309470
"改",1,134177532490056106
"3135",18,134177517441877522
"3582",1,134176722298529832
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\东莞哈工自控科技有限公司\\.*11\d\d",1,134176712390389982
"E11-006A",1,134176711068427214
"VDE20-E11-006A-环氧树脂发热板",1,134176710611760744
"电控",3,134176212865923587
"徐州九极动力科技有限公司",1,134176208391085630
"^E:\\刁德升\\.*sld",1,134176059557697578
"^E:\\刁德升\\",8,134176059474783529
".*sld",1,134176059422902766
"13T",1,134175995049130107
"4458.4-200",1,134175883463375389
"远东",2,134175862331535121
"DX-AFRTF-250-300-500V-1X2.5",1,134175861170171571
"3594",4,134175806516223468
"3591",2,134175805609327935
"2.5",1,134175308317911480
"3502",8,134175286319777804
"3602",1,134175286210277770
"装配",1,134175217030425261
"^E:\\刁德升\\.*dwg$",1,134175203037066452
"3502-A",8,134175179009236552
"cxt-.",1,134175095301521715
"cxt-3630",2,134175095214264349
"cxt-3631",1,134175094955437409
"cxt-3147",1,134175094727062223
"\\User-20230521vs\G\阳帅工作文档\CAD\时代高科\TFS251204T",2,134174972910738903
"3624",1,134174951465773703
"3623",6,134174951424214446
"3622",3,134174951386406694
"3621",3,134174951333430085
"通用",1,134174906187263977
"3567",1,134173491696665297
"1023",1,134173491009812319
"1036-001",2,134173436866866882
"3623.*dwg$",1,134173286040089569
"3223.*dwg$",4,134173285991630433
"3281",5,134173259299807665
"keystats",1,134173153091955577
"3504",2,134172693554637765
"1023.*沟通",1,134172535103566355
"keystat",1,134172306600443447
"001000089",2,134172295998116158
"^\\\\User-20230521vs\\G\\阳帅工作文档\\CAD\\",3,134171890397417148
"3574",1,134171870667161975
"3281.*dwg$",3,134171833364533493
"风冷",1,134171743588006335
"导热硅胶片",2,134171742994240973
"导热",4,134171742853013350
"导热.*dwg$",1,134171742593488947
"丰晖",2,134171703566968311
"sldprt.*$",1,134171629625531305
"盖板",2,134171629537321554
"迈科",15,134171627628725628
